sid,tactic_id,tech_id
2004414,TA0001,T1190
2005135,TA0001,T1190
2005136,TA0001,T1190
2005137,TA0001,T1190
2005138,TA0001,T1190
2005139,TA0001,T1190
2005140,TA0001,T1190
2003987,TA0001,T1190
2003988,TA0001,T1190
2003989,TA0001,T1190
2003990,TA0001,T1190
2003991,TA0001,T1190
2003992,TA0001,T1190
2003331,TA0001,T1190
2012075,TA0001,T1190
2012121,TA0001,T1190
2012153,TA0001,T1190
2012194,TA0001,T1190
2012206,TA0001,T1190
2000307,TA0009,T1005
2012304,TA0010,T1041
2012454,TA0010,T1041
2012046,TA0001,T1190
2012509,TA0001,T1190
2012518,TA0005,T1027
2012580,TA0001,T1190
2012583,TA0001,T1190
2012584,TA0001,T1190
2012604,TA0001,T1190
2012605,TA0001,T1190
2010879,TA0005,T1027
2012844,TA0010,T1041
2012845,TA0010,T1041
2012846,TA0010,T1041
2012847,TA0010,T1041
2012905,TA0001,T1190
2012997,TA0001,T1190
2013019,TA0010,T1041
2013020,TA0010,T1041
2013022,TA0010,T1041
2013063,TA0010,T1041
2013132,TA0001,T1190
2013131,TA0001,T1190
2013143,TA0010,T1041
2013144,TA0001,T1190
2013069,TA0001,T1190
2013140,TA0010,T1041
2013265,TA0010,T1041
2013282,TA0001,T1190
2013321,TA0007,T1082
2012866,TA0007,T1082
2013237,TA0005,T1027
2013314,TA0005,T1027
2006613,TA0001,T1190
2009179,TA0001,T1190
2014027,TA0005,T1027
2014019,TA0005,T1027
2001473,TA0009,T1005
2014079,TA0001,T1190
2012179,TA0001,T1190
2014241,TA0005,T1027
2014244,TA0005,T1027
2000306,TA0009,T1005
2000308,TA0009,T1005
2006377,TA0010,T1041
2006405,TA0010,T1041
2013736,TA0001,T1190
2014454,TA0001,T1190
2014593,TA0001,T1190
2014594,TA0001,T1190
2011329,TA0001,T1190
2010223,TA0001,T1190
2014708,TA0001,T1190
2014709,TA0001,T1190
2015465,TA0001,T1190
2005526,TA0001,T1190
2004492,TA0001,T1190
2015606,TA0001,T1190
2015607,TA0001,T1190
2015679,TA0005,T1027
2003145,TA0001,T1190
2003146,TA0001,T1190
2003148,TA0001,T1190
2003147,TA0001,T1190
2013268,TA0005,T1027
2002697,TA0001,T1190
2001686,TA0001,T1190
2014036,TA0005,T1027
2002996,TA0001,T1190
2015735,TA0005,T1027
2016047,TA0010,T1041
2016049,TA0010,T1041
2016084,TA0001,T1190
2016124,TA0010,T1041
2016126,TA0010,T1041
2016127,TA0010,T1041
2016197,TA0001,T1190
2016236,TA0001,T1190
2016235,TA0001,T1190
2016315,TA0010,T1041
2015858,TA0005,T1027
2016403,TA0005,T1027
2016456,TA0010,T1041
2016457,TA0010,T1041
2016496,TA0040,T1486
2016561,TA0010,T1041
2016656,TA0010,T1041
2016659,TA0010,T1041
2016660,TA0010,T1041
2001486,TA0009,T1005
2016704,TA0005,T1027
2016734,TA0005,T1027
2016781,TA0005,T1027
2016585,TA0005,T1027
2016112,TA0005,T1027
2016143,TA0005,T1027
2016655,TA0005,T1027
2015823,TA0005,T1027
2015844,TA0005,T1027
2015652,TA0005,T1027
2015580,TA0005,T1027
2015519,TA0005,T1027
2010156,TA0001,T1190
2008651,TA0001,T1190
2016852,TA0005,T1027
2016937,TA0001,T1190
