Command,Description
pmdaaix,operating system kernel performance metrics domain agents
pmdaamdgpu,amd gpu metrics domain agent pmda
pmdaapache,apache2 web server performance metrics domain agent pmda
pmdabash,bourneagain shell trace performance metrics domain agent
pmdabcc,bcc pmda
pmdabind2,bind performance metrics domain agent pmda
pmdabonding,linux bonded interface performance metrics domain agent pmda
pmdabpf,ebpf pmda
pmdabpftrace,bpftrace pmda
pmdacifs,common internet filesystem cifs pmda
pmdacisco,cisco router performance metrics domain agent pmda
pmdadarwin,operating system kernel performance metrics domain agents
pmdadbping,database response time availability pmda
pmdadenki,metrics related systems electrical consumption
pmdadm,device mapper pmda
pmdadocker,docker performance metrics domain agent pmda
pmdads389,389 directory server pmda
pmdads389log,389 directory server log pmda
pmdaelasticsearch,elasticsearch performance metrics domain agent pmda
pmdafarm,seagate farm log pmda
pmdafreebsd,operating system kernel performance metrics domain agents
pmdagfs2,global filesystem v2 gfs2 pmda
pmdagluster,gluster filesystem pmda
pmdagpfs,gpfs filesystem statistics performance metrics domain agent pmda
pmdahacluster,high availability cluster pmda
pmdahaproxy,haproxy pmda
pmdaib,infiniband performance metrics domain agent pmda
pmdajbd2,journal block device jbd performance metrics domain agent pmda
pmdajson,json pmda
pmdakernel,operating system kernel performance metrics domain agents
pmdakvm,linux virtualization performance metrics domain agent pmda
pmdalibvirt,libvirt pmda
pmdalinux,operating system kernel performance metrics domain agents
pmdalio,linux lio subsystem pmda
pmdalmsensors,linux hardware monitoring performance metrics domain agent pmda
pmdalogger,log file performance metrics domain agent pmda
pmdalustre,lustre filesystem statistics performance metrics domain agent pmda
pmdalustrecomm,lustre filesystem comms performance metrics domain agent pmda
pmdamailq,mail queue performance metrics domain agent pmda
pmdamemcache,memcached performance metrics domain agent pmda
pmdamic,mic card pmda
pmdammv,memory mapped values performance metrics domain agent pmda
pmdamongodb,mongodb database metrics
pmdamounts,filesystem mounts performance metrics domain agent pmda
pmdamssql,microsoft sql server database pmda
pmdamysql,mysql mariadb database pmda
pmdanetbsd,operating system kernel performance metrics domain agents
pmdanetcheck,netcheck pmda
pmdanetfilter,linux netfilter ip connection tracking performance metrics domain agent pmda
pmdanfsclient,nfs client statistics performance metrics domain agent pmda
pmdanginx,nginx performance metrics domain agent pmda
pmdanutcracker,nutcracker performance metrics domain agent pmda
pmdanvidia,nvidia gpu metrics domain agent pmda
pmdaopenmetrics,openmetrics pmda
pmdaopenvswitch,openvswitch pmda
pmdaoracle,oracle database pmda
pmdaoverhead,performance metrics domain agent pmda exporting resource consumption metrics groups processes
pmdaperfevent,hardware performance counter performance metrics domain agent pmda
pmdapipe,command output capture performance metrics domain agent pmda
pmdapodman,podman container performance metrics domain agent pmda
pmdapostfix,postfix performance metrics domain agent pmda
pmdapostgresql,postgresql database pmda
pmdaproc,process performance metrics domain agent pmda
pmdarabbitmq,rabbit message queue subsystem pmda
pmdaredis,redis performance metrics domain agent pmda
pmdaresctrl,resctrl performance metrics domain agent pmda
pmdaroomtemp,room temperature performance metrics domain agent pmda
pmdaroot,privileged pmcd helper performance metrics domain agent
pmdarsyslog,rsyslog reliable extended syslog pmda
pmdasample,sample performance metrics domain agent pmda
pmdasendmail,sendmail performance metrics domain agent pmda
pmdashping,shellping performance metrics domain agent
pmdasimple,simple performance metrics domain agent pmda
pmdaslurm,slurm statistics performance metrics domain agent pmda
pmdasmart,smart data pmda
pmdasockets,sockets statistics pmda
pmdasolaris,operating system kernel performance metrics domain agents
pmdastatsd,statsd protocol performance metric domain agent pmda
pmdasummary,summary performance metrics domain agent pmda
pmdasystemd,systemd performance metrics domain agent pmda
pmdate,display offset date
pmdatrace,applicationlevel transaction performance metrics domain agent
pmdatrivial,trivial performance metrics domain agent pmda
pmdatxmon,txmon performance metrics domain agent pmda
pmdaunbound,unbound resolver pmda
pmdauwsgi,uwsgi performance metrics domain agent pmda
pmdaweblog,performance metrics domain agent pmda web server logs
pmdawindows,operating system kernel performance metrics domain agents
pmdaxfs,xfs filesystem performance metrics domain agent pmda
pmdazfs,zfs filesystem performance metrics domain agent pmda linux
pmdazimbra,zimbra collaboration suite zcs pmda
pmdazswap,zswap compressed swap pmda
pmdbg,report performance copilot debug options
pmdiff,compares archives report significant differences
pmdumplog,dump internal details performance metrics archive
pmdumptext,dump performance metrics ascii table
pmerr,translate performance copilot error codes error messages
pmevent,arbitrary performance metrics value dumper
pmfind,find pcp services network
pmfind_check,administration performance copilot discovery
pmgenmap,generate c code simplify handling performance metrics
pmgetopt,performance copilot shell script option parser
pmhostname,report hostname
pmie,inference engine performance metrics
pmie2col,convert pmie output multicolumn format
pmie_check,administration performance copilot inference engine
pmieconf,display set configurable pmie rule variables
pmie_daily,administration performance copilot inference engine
pmie_dump_stats,dump contents pmie stats files
pmiestatus,display information pmie stats file
pminfo,display information performance metrics
pmiostat,report block io statistics
pmjson,performance copilot json dumping utility
pmlc,configure active performance copilot pmloggers interactively
pmlock,simple filebased mutex
pmlogbasename,basename pcp archive
pmlogcheck,checks invalid data pcp archive
pmlogcompress,compress decompress pcp archive files
pmlogconf,createedit pmlogger configuration file
pmlogcp,move rename copy performance copilot archive files
pmlogctl,manage control performance copilot archivers
pmlogdecompress,compress decompress pcp archive files
pmlogdump,dump internal details performance metrics archive
pmlogextract,reduce extract concatenate merge performance copilot archives
pmlogger,create archive performance metrics
pmlogger_check,administration performance copilot archive files
pmlogger_daily,administration performance copilot archive files
pmlogger_daily_report,write performance copilot daily summary reports
pmlogger_merge,helper script merge performance copilot archives
pmlogger_rewrite,helper script rewrite performance copilot archives
pmloglabel,check repair performance metrics archive label
pmlogmv,move rename copy performance copilot archive files
pmlogpaste,paste text metric pcp archive
pmlogredact,remove sensitive information pcp archives
pmlogreduce,temporal reduction performance copilot archives
pmlogrewrite,rewrite performance copilot archives
pmlogsize,report sizes parts pcp archives
pmlogsummary,calculate averages metrics stored set pcp archives
pmmessage,general purpose dialog box
pmmgr,backwardcompatibility performance copilot pcp
pmnsadd,add new names performance copilot pmns
pmnscomp,compile ascii performance metrics namespace binary format
pmnsdel,delete subtree names performance copilot pmns
pmnsmerge,merge multiple versions performance copilot pmns
pmpause,portable subsecondcapable sleep
pmpost,append messages performance copilot notice board
pmprobe,lightweight probe performance metrics
pmproxy,proxy performance metrics collector querying
pmpython,run python script using preferred python variant
pmquery,general purpose dialog box
pmrep,performance metrics reporter
pmrepconf,createedit pmrep configuration file
pmsearch,help text names search metrics instances instance domains
pmseries,display information performance metric timeseries
pmsignal,send signal one processes
pmsleep,portable subsecondcapable sleep
pmsnap,generate performance summary snapshot images
pmsocks,shell wrapper performance monitoring across firewalls
pmstat,highlevel system performance overview
pmstore,modify performance metric values
pmtime,time control server performance copilot
pmtrace,command line performance instrumentation
pmval,arbitrary performance metrics value dumper
pmview,performance metrics 3d visualization backend
pmwebd,backwardcompatibility performance copilot pcp
poff,starts shuts lists log ppp connections
police,policing action
pon,starts shuts lists log ppp connections
portablectl,attach detach inspect portable service images
poweroff,power reboot halt machine
ppdc,cups ppd compiler deprecated
ppdhtml,cups html summary generator deprecated
ppdi,import ppd files deprecated
ppdmerge,merge ppd files deprecated
ppdpo,ppd message catalog generator deprecated
pppd-radattr,radius utility plugin pppd8
pppd-radius,radius authentication plugin pppd8
pppd,pointtopoint protocol daemon
pppdump,convert ppp record file readable format
pppoe-discovery,perform pppoe discovery
pppstats,print ppp statistics
pr,convert text files printing
pr,print files
prelink,prelink elf shared libraries binaries speed startup time
printenv,print part environment
printf,format print data
printf,write formatted output
PRIO,priority qdisc
prlimit,get set process resource limits
prs,print sccs file development
prtstat,print statistics process
ps,report snapshot current processes
ps,report process status
pscap,program see capabilities
psfaddtable,add unicode character table console font
psfgettable,extract embedded unicode character table console font
psfstriptable,remove embedded unicode character table console font
psfxtable,handle unicode character tables console fonts
psktool,gnutls psk tool
pslog,report current logs path process
pstree,display tree processes
ptx,produce permuted index file contents
pv,monitor progress data pipe
pvchange,change attributes physical volumes
pvck,check metadata physical volumes
pvcreate,initialize physical volumes use lvm
pvdisplay,display various attributes physical volumes
pvmove,move extents one physical volume another
pvremove,remove lvm labels physical volumes
pvresize,resize physical volumes
pvs,display information physical volumes
pvscan,list physical volumes
pwck,verify integrity password files
pwconv,convert shadow passwords groups
pwd,print name currentworking directory
pwd,return working directory name
pwdx,report current working directory process
pwhistory_helper,helper binary transfers password hashes passwd shadow opasswd
pwunconv,convert shadow passwords groups
qalter,alter batch job
qdel,delete batch jobs
qhold,hold batch jobs
qmove,move batch jobs
qmsg,send message batch jobs
qrerun,rerun batch jobs
qrls,release batch jobs
qselect,select batch jobs
qsig,signal batch jobs
qstat,show status batch jobs
qsub,submit script
quilt,manage series patches
quota,display disk usage limits
quotacheck,scan filesystem disk usage create check repair quota files
quota_nld,quota netlink message daemon
quotaoff,turn filesystem quotas
quotaon,turn filesystem quotas
quotastats,program query quota statistics
quotasync,synchronize inkernel file system usage limits disk format
radattr.so,radius utility plugin pppd8
radius.so,radius authentication plugin pppd8
raid6check,check md raid6 device errors aka linux software raid
ranlib,generate index archive
rarp,manipulate system rarp table
rc-local.service,compatibility generator service start etcrclocal boot
rcopy,simple file copy rdma
rdma-dev,rdma device configuration
rdma-link,rdma link configuration
rdma-monitor,rdma events monitoring
rdma-resource,rdma resource configuration
rdma-statistic,rdma statistic counter configuration
rdma-system,rdma subsystem configuration
rdma,rdma tool
rdma_client,simple rdma cm connection pingpong test
rdma_server,simple rdma cm connection pingpong test
rdma_xclient,rdma cm communication client test program
rdma_xserver,rdma cm communication server test program
read,read standard input shell variables
readelf,display information elf files
readlink,print resolved symbolic links canonical file names
readonly,set readonly attribute variables
readprofile,read kernel profiling information
realpath,print resolved path
reboot,power reboot halt machine
recode-sr-latin,convert serbian text cyrillic latin script
red,random early detection
rename,rename files
renice,alter priority running processes
renice,set nice values running processes
replace,stringreplacement utility
repo-graph,output full package dependency graph dot format
repo-rss,generates rss feed one yum repositories
repoclosure,display list unresolved dependencies yum repository
repodiff,list differences two yum repositories
repomanage,list newest oldest rpm packages directory
repoquery,query information yum repositories
reposync,synchronize yum repositories local directory
repotrack,track package dependencies download
repquota,summarize quotas filesystem
request-key,handle key instantiation callback requests kernel
RESET,terminal initialization
reset,initialize terminal query terminfo database
resize2fs,ext2ext3ext4 file system resizer
resizecons,change kernel idea console size
resizepart,tell kernel new size partition
resolvconf,resolve domain names ipv4 ipv6 addresses dns resource records services introspect reconfigure dns resolver
resolvectl,resolve domain names ipv4 ipv6 addresses dns resource records services introspect reconfigure dns resolver
resolveip,resolve host name ip address vice versa
resolve_stack_dump,resolve numeric stack trace dump symbols
restorecon,restore files default selinux security contexts
restorecond,daemon watches file creation sets default selinux file context
restorecon_xattr,manage securitysehash extended attribute entries added setfiles8 restorecon8
return,return function dot script
rev,reverse lines characterwise
rfkill,tool enabling disabling wireless devices
riostream,zerocopy streaming rdma pingpong test
rm,remove files directories
rm,remove directory entries
rmdel,remove delta sccs file development
rmdir,remove empty directories
rmdir,remove directories
rmmod,simple program remove module linux kernel
route,show manipulate ip routing table
routel,list routes pretty output format
rpc.gssd,rpcsec_gss daemon
rpc.idmapd,name mapper
rpc.mountd,nfs mount daemon
rpc.nfsd,nfs server process
rpc.rquotad,remote quota server
rpc.statd,nsm service daemon
rpc.svcgssd,serverside rpcsec_gss daemon
rpcbind,universal addresses rpc program number mapper
rpcctl,displays sunrpc connection information
rpcdebug,set clear nfs rpc kernel debug flags
rpcinfo,report rpc information
rping,rdma cm connection rdma pingpong test
rpm-plugin-audit,audit plugin rpm package manager
rpm-plugin-dbus-announce,dbus plugin rpm package manager
rpm-plugin-fapolicyd,fapolicyd plugin rpm package manager
rpm-plugin-ima,ima plugin rpm package manager
rpm-plugin-prioreset,plugin rpm package manager fix issues priorities deamons sysv init
rpm-plugin-selinux,selinux plugin rpm package manager
rpm-plugin-syslog,syslog plugin rpm package manager
rpm-plugin-systemd-inhibit,plugin rpm package manager
rpm-plugin-unshare,unshare plugin rpm package manager
rpm-plugins,plugins rpm package manager
rpm,rpm package manager
rpm2archive,create tar archive rpm package manager rpm package
rpm2cpio,extract cpio archive rpm package manager rpm package
rpmbuild,build rpm packages
rpmdb,rpm database tool
rpmdeps,generate rpm package dependencies
rpmgraph,display rpm package dependency graph
rpmkeys,rpm keyring
rpmlua,rpm lua interpreter
rpmsign,rpm package signing
rpmsort,sort input rpm package manager rpm versioning
rpmspec,rpm spec tool
rrsync,script setup restricted rsync users via ssh logins
rstream,streaming rdma pingpong test
rsync-ssl,helper script connecting ssl rsync daemon
rsync,fast versatile remote local filecopying tool
rsyslogd,reliable extended syslogd
rtacct,network statistics tools
rtcwake,enter system sleep state specified wakeup time
rtmon,listens monitors rtnetlink
rtstat,unified linux network statistics
run0,elevate privileges
runaspcp,execute shell command user pcp
runcon,run command specified security context
run_init,run init script proper selinux context
runlevel,print previous current sysv runlevel
runscript,script interpreter minicom
runuser,run command substitute user group id
sa,summarizes accounting information
sa1,collect store binary data system activity daily data file
sa2,create report current standard system activity daily data file
sact,editing activity development
sadc,system activity data collector
sadf,display data collected sar multiple formats
sample,packet sampling tc action
sandbox,run cmd selinux sandbox
sar,collect report save system activity information
sar2pcp,import sar data create pcp archive
scalar,tool managing large git repositories
sccs,front end sccs subsystem development
scmp_sys_resolver,resolve system calls
scp,openssh secure file copy
screen,screen manager vt100ansi terminal emulation
script,make typescript terminal session
scriptlive,rerun session typescripts using timing information
scriptreplay,play back typescripts using timing information
sdiff,sidebyside merge file differences
secon,see selinux context file program user input
sed,stream editor filtering transforming text
sed,stream editor
sefcontext_compile,compile file context regular expression files
selinux-polgengui,selinux policy generation tool
SELinux,securityenhanced linux selinux
selinux,securityenhanced linux selinux
selinuxenabled,tool used within shell scripts determine selinux enabled
selinuxexeccon,report selinux context used executable
semanage-boolean,selinux policy management boolean tool
semanage-dontaudit,selinux policy management dontaudit tool
semanage-export,selinux policy management import tool
semanage-fcontext,selinux policy management file context tool
semanage-ibendport,selinux policy management ibendport mapping tool
semanage-ibpkey,selinux policy management ibpkey mapping tool
semanage-import,selinux policy management import tool
semanage-interface,selinux policy management network interface tool
semanage-login,selinux policy management linux user selinux user mapping tool
semanage-module,selinux policy management module mapping tool
semanage-node,selinux policy management node mapping tool
semanage-permissive,selinux policy management permissive mapping tool
semanage-port,selinux policy management port mapping tool
semanage-user,selinux policy management selinux user mapping tool
semanage,selinux policy management tool
semind,semantic indexer c
semodule,manage selinux policy modules
semodule_expand,expand selinux policy module package
semodule_link,link selinux policy module packages together
semodule_package,create selinux policy module package
semodule_unpackage,extract policy module file context file selinux policy module package
sendmail,mail enqueuer smtpd8
sepolgen,generate initial selinux policy module template
sepolicy-booleans,query selinux policy see description booleans
sepolicy-communicate,generate report showing two selinux policy domains communicate
sepolicy-generate,generate initial selinux policy module template
sepolicy-gui,graphical user interface selinux policy
sepolicy-interface,print interface information based installed selinux policy
sepolicy-manpage,generate man page based installed selinux policy
sepolicy-network,examine selinux policy generate network report
sepolicy-transition,examine selinux policy generate process transition report
sepolicy,selinux policy inspection tool
seq,print sequence numbers
sestatus,selinux status tool
set,set unset options positional parameters
setarch,change reported architecture new program environment andor set personality flags
setcap,set file capabilities
setenforce,modify mode selinux running
setfacl,set file access control lists
setfattr,set extended attributes filesystem objects
setfiles,set selinux file security contexts
setfont,load egavga console screen font
setkeycodes,load kernel scancodetokeycode mapping table entries
setleds,set keyboard leds
setmetamode,define keyboard meta key handling
setpci,configure pci devices
setpgid,run program new process group
setpriv,run program different linux privilege settings
setquota,set disk quotas
setsebool,set selinux boolean value
setsid,run program new session
setterm,set terminal attributes
setvtrgb,set virtual terminal rgb colors
seunshare,run cmd alternate homedir tmpdir andor selinux context
sfb,stochastic fair blue
sfdisk,display manipulate disk partition table
sfq,stochastic fairness queueing
sftp-server,openssh sftp server subsystem
sftp,openssh secure file transfer
sg,execute command different group id
sh,shell standard command language interpreter
sha1sum,compute check sha1 message digest
sha224sum,compute check sha224 message digest
sha256sum,compute check sha256 message digest
sha384sum,compute check sha384 message digest
sha512sum,compute check sha512 message digest
sheet2pcp,import spreadsheet data create pcp archive
shift,shift positional parameters
show-changed-rco,show changes rpm package
show-installed,show installed rpm packages descriptions
showconsolefont,show current egavga console screen font
showkey,examine codes sent keyboard
showmount,show mount information nfs server
shred,overwrite file hide contents optionally delete
shuf,generate random permutations
shutdown,halt power reboot machine
simple,basic example action
size,list section sizes total size binary files
skbedit,skb editing action
skbmod,userfriendly packet editor action
skbprio,skb priority queue
skill,send signal report process status
slabtop,display kernel slab cache information real time
slapacl,check access list attributes
slapadd,add entries slapd database
slapauth,check list stringrepresented ids ldap authcauthz
slapcat,slapd database ldif utility
slapd,standalone ldap daemon
slapdn,check list stringrepresented ldap dns based schema syntax
slapindex,reindex entries slapd database
slapmodify,modify entries slapd database
slappasswd,openldap password utility
slapschema,slapd indatabase schema checking utility
slaptest,check suitability openldap slapd configuration
slattach,attach network interface serial line
sleep,delay specified amount time
sleep,suspend execution interval
sln,create symbolic links
sm-notify,send reboot notifications nfs peers
smtp,simple mail transfer protocol client
smtpctl,control smtp daemon
smtpd,simple mail transfer protocol smtp daemon
snice,send signal report process status
snmp,cups snmp backend deprecated
sort,sort lines text files
sort,sort merge sequence check text files
sortman,sort manualpage path names
sparse,semantic parser c
split,split file pieces
split,split file pieces
sprof,read display shared object profiling data
sqlhist,tool uses sql language create show creation tracefs histograms synthetic events
srp-entry,generate srpsha1 server entry
srptool,gnutls srp tool
ss,another utility investigate sockets
ssh-add,adds private key identities openssh authentication agent
ssh-agent,openssh authentication agent
ssh-copy-id,use locally available keys authorise logins remote machine
ssh-keygen,openssh authentication key utility
ssh-keyscan,gather ssh public keys servers
ssh-keysign,openssh helper hostbased authentication
ssh-pkcs11-helper,openssh helper pkcs11 support
ssh-sk-helper,openssh helper fido authenticator support
ssh,openssh remote login client
sshd,openssh daemon
SSHFS,filesystem client based ssh
sshfs,filesystem client based ssh
stap-exporter,systemtapprometheus interoperation mechanism
stap-jupyter-container,locally install isystemtap
stap-jupyter-install,locally install isystemtap
stap-jupyter,locally install isystemtap
stap-merge,systemtap percpu binary merger
stap-prep,prepare system systemtap use
stap-report,collect system information useful debugging systemtap bugs
stap-server,systemtap compile server management
stap,systemtap script translatordriver
stapbpf,systemtap bpf runtime
stapdyn,systemtap dyninst runtime
stapref,systemtap language reference
staprun,systemtap runtime
stapsh,stapsh
stapvirt,prepare libvirt domains systemtap probing
start-stop-daemon,start stop system daemon programs
stat,display file file system status
statd,nsm service daemon
stdbuf,run command modified buffering operations standard streams
stg-branch,branch operations switch list create rename delete
stg-clean,delete empty patches series
stg-commit,finalize patches stack base
stg-completion,support shell completions
stg-delete,delete patches
stg-diff,show diff
stg-edit,edit patch
stg-email,format send patches email
stg-export,export patches directory
stg-files,show files modified patch
stg-float,push patches top even applied
stg-fold,fold diff file current patch
stg-goto,go patch pushing popping necessary
stg-help,print message help given subcommands
stg-hide,hide patches series
stg-id,print git hash stgit revision
stg-import,import patches stack
stg-init,initialize stgit stack branch
stg-log,display optionally clear stack changelog
stg-name,print patch name stgit revision
stg-new,create new patch top stack
stg-next,print name next patch
stg-patches,show patches modify files
stg-pick,import patch another branch commit object
stg-pop,pop unapply one applied patches
stg-prev,print name previous patch
stg-pull,pull changes remote repository
stg-push,push apply one unapplied patches
stg-rebase,move stack base another point history
stg-redo,undo last undo operation
stg-refresh,incorporate worktree changes current patch
stg-rename,rename patch
stg-repair,repair stack branch modified git commands
stg-reset,reset patch stack earlier state
stg-series,display patch series
stg-show,show patch commits
stg-sink,move patches deeper stack
stg-spill,spill changes topmost patch
stg-squash,squash two patches one
stg-sync,synchronize patches branch series
stg-top,print name top patch
stg-uncommit,convert regular git commits stgit patches
stg-undo,undo last command
stg-unhide,unhide hidden patches
stg-version,print version information exit
stg,manage stacks patches using git content tracker
strace-log-merge,merge strace ff tt output
strace,trace system calls signals
strings,print sequences printable characters files
strings,find printable strings files
strip,discard symbols data object files
strip,remove unnecessary information strippable files development
stty,change print terminal line settings
stty,set options terminal
su,run command substitute user group id
sudo,execute command another user
sudoedit,execute command another user
sudo_logsrvd,sudo event io log server
sudoreplay,replay sudo session logs
sudo_sendlog,send sudo io log log server
sulogin,singleuser login
sum,checksum count blocks file
svcgssd,serverside rpcsec_gss daemon
swaplabel,print change label uuid swap area
swapoff,enabledisable devices files paging swapping
swapon,enabledisable devices files paging swapping
switch_root,switch another filesystem root mount tree
sync,synchronize cached writes persistent storage
sysctl,configure kernel parameters runtime
system-config-selinux,selinux management tool
systemctl,control systemd system service manager
systemd-ac-power,report whether connected external power source
systemd-analyze,analyze debug system manager
systemd-ask-password-console.path,query user system passwords console via wall
systemd-ask-password-console.service,query user system passwords console via wall
systemd-ask-password-wall.path,query user system passwords console via wall
systemd-ask-password-wall.service,query user system passwords console via wall
systemd-ask-password,query user system password
systemd-backlight,load save display backlight brightness boot shutdown
systemd-backlight.service,load save display backlight brightness boot shutdown
systemd-backlight@.service,load save display backlight brightness boot shutdown
systemd-battery-check,check battery level whether theres enough charge power
systemd-battery-check.service,check battery level whether theres enough charge power
systemd-binfmt,configure additional binary formats executables boot
systemd-binfmt.service,configure additional binary formats executables boot
systemd-bless-boot-generator,pull systemdblessbootservice initial boot transaction boot counting effect
systemd-bless-boot,mark current boot process successful
systemd-bless-boot.service,mark current boot process successful
systemd-boot-check-no-failures,verify system booted cleanly
systemd-boot-check-no-failures.service,verify system booted cleanly
systemd-boot-random-seed.service,refresh boot loader random seed boot
systemd-bsod,displays boottime emergency log message full screen
systemd-bsod.service,displays boottime emergency log message full screen
systemd-cat,connect pipeline programs output journal
systemd-cgls,recursively show control group contents
systemd-cgtop,show top control groups resource usage
systemd-confext-initrd.service,activates system extension images
systemd-confext,activates system extension images
systemd-confext.service,activates system extension images
systemd-coredump,acquire save process core dumps
systemd-coredump.service,acquire save process core dumps
systemd-coredump.socket,acquire save process core dumps
systemd-coredump@.service,acquire save process core dumps
systemd-creds,lists shows encrypts decrypts service credentials
systemd-cryptenroll,enroll pkcs11 fido2 tpm2 tokendevices luks2 encrypted volumes
systemd-cryptsetup-generator,unit generator etccrypttab
systemd-cryptsetup,full disk decryption logic
systemd-cryptsetup.service,full disk decryption logic
systemd-cryptsetup@.service,full disk decryption logic
systemd-debug-generator,generator enabling runtime debug shell masking specific units boot
systemd-delta,find overridden configuration files
systemd-detect-virt,detect execution virtualized environment
systemd-dissect,dissect discoverable disk images ddis
systemd-environment-d-generator,load variables specified environmentd
systemd-escape,escape strings usage systemd unit names
systemd-firstboot,initialize basic system settings first bootup system
systemd-firstboot.service,initialize basic system settings first bootup system
systemd-fsck-root.service,file system checker logic
systemd-fsck-usr.service,file system checker logic
systemd-fsck,file system checker logic
systemd-fsck.service,file system checker logic
systemd-fsck@.service,file system checker logic
systemd-fstab-generator,unit generator etcfstab
systemd-getty-generator,generator enabling getty instances console
systemd-gpt-auto-generator,generator automatically discovering mounting root home srv var vartmp partitions well discovering enabling swap partitions based gpt partition type guids
systemd-growfs-root.service,creating growing file systems demand
systemd-growfs,creating growing file systems demand
systemd-growfs.service,creating growing file systems demand
systemd-growfs@.service,creating growing file systems demand
systemd-halt.service,system shutdown logic
systemd-hibernate-clear.service,resume hibernation
systemd-hibernate-resume-generator,unit generator resume kernel parameter
systemd-hibernate-resume,resume hibernation
systemd-hibernate-resume.service,resume hibernation
systemd-hibernate.service,system sleep state logic
systemd-homed-firstboot.service,create remove change inspect home directories
systemd-homed,home areauser account manager
systemd-homed.service,home areauser account manager
systemd-hostnamed,daemon control system hostname programs
systemd-hostnamed.service,daemon control system hostname programs
systemd-hwdb,hardware database management tool
systemd-hybrid-sleep.service,system sleep state logic
systemd-id128,generate print sd128 identifiers
systemd-import-generator,generator automatically downloading disk images boot
systemd-importd,vm container image import export service
systemd-importd.service,vm container image import export service
systemd-inhibit,execute program inhibition lock taken
systemd-initctl,devinitctl compatibility
systemd-initctl.service,devinitctl compatibility
systemd-initctl.socket,devinitctl compatibility
systemd-integritysetup-generator,unit generator integrity protected block devices
systemd-integritysetup,disk integrity protection logic
systemd-integritysetup.service,disk integrity protection logic
systemd-integritysetup@.service,disk integrity protection logic
systemd-journal-gatewayd,http server journal events
systemd-journal-gatewayd.service,http server journal events
systemd-journal-gatewayd.socket,http server journal events
systemd-journal-remote,receive journal messages network
systemd-journal-remote.service,receive journal messages network
systemd-journal-remote.socket,receive journal messages network
systemd-journal-upload,send journal messages network
systemd-journal-upload.service,send journal messages network
systemd-journald-audit.socket,journal service
systemd-journald-dev-log.socket,journal service
systemd-journald-varlink.socket,journal service
systemd-journald-varlink@.socket,journal service
systemd-journald,journal service
systemd-journald.service,journal service
systemd-journald.socket,journal service
systemd-journald@.service,journal service
systemd-journald@.socket,journal service
systemd-kexec.service,system shutdown logic
systemd-keyutil,perform various operations private keys x509 certificates
systemd-localed,locale bus mechanism
systemd-localed.service,locale bus mechanism
systemd-logind,login manager
systemd-logind.service,login manager
systemd-machine-id-commit.service,commit transient machine id disk
systemd-machine-id-setup,initialize machine id etcmachineid
systemd-machined,virtual machine container registration manager
systemd-machined.service,virtual machine container registration manager
systemd-makefs,creating growing file systems demand
systemd-makefs.service,creating growing file systems demand
systemd-makefs@.service,creating growing file systems demand
systemd-measure,precalculate sign expected tpm2 pcr 11 values booted unified kernel images
systemd-mkswap.service,creating growing file systems demand
systemd-mkswap@.service,creating growing file systems demand
systemd-modules-load,load kernel modules boot
systemd-modules-load.service,load kernel modules boot
systemd-mount,establish destroy transient mount automount points
systemd-mountfsd,disk image file system mount service
systemd-mountfsd.service,disk image file system mount service
systemd-network-generator,generate network configuration kernel command line
systemd-network-generator.service,generate network configuration kernel command line
systemd-networkd-wait-online,wait network come online
systemd-networkd-wait-online.service,wait network come online
systemd-networkd-wait-online@.service,wait network come online
systemd-networkd,network manager
systemd-networkd.service,network manager
systemd-notify,notify service manager startup completion daemon status changes
systemd-nspawn,spawn command os lightweight container
systemd-nsresourced,user namespace resource delegation service
systemd-nsresourced.service,user namespace resource delegation service
systemd-oomd,userspace outofmemory oom killer
systemd-oomd.service,userspace outofmemory oom killer
systemd-path,list query system user paths
systemd-pcrextend,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrfs-root.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrfs.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrfs@.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrlock-file-system.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock-firmware-code.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock-firmware-config.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock-machine-id.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock-make-policy.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock-secureboot-authority.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock-secureboot-policy.service,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrlock,analyze predict tpm2 pcr states generate access policy prediction
systemd-pcrmachine.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrphase-initrd.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrphase-sysinit.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-pcrphase.service,measure boot phase tpm2 pcr 11 machine id file system identity pcr 15
systemd-portabled,portable service manager
systemd-portabled.service,portable service manager
systemd-poweroff.service,system shutdown logic
systemd-pstore,service archive contents pstore
systemd-pstore.service,service archive contents pstore
systemd-pty-forward,run command custom terminal background color title
systemd-quotacheck,file system quota checker logic
