Command,Description
dh_fixperms,fix permissions files package build directories
dh_gencontrol,generate install control file
dh_icons,update caches freedesktop icons
dh_install,install files package build directories
dh_installalternatives,install declarative alternative rules
dh_installcatalogs,install register sgml catalogs
dh_installchangelogs,install changelogs package build directories
dh_installcron,install cron scripts etccron
dh_installdeb,install files debian directory
dh_installdebconf,install files used debconf package build directories
dh_installdirs,create subdirectories package build directories
dh_installdocs,install documentation package build directories
dh_installemacsen,register emacs add package
dh_installexamples,install example files package build directories
dh_installgsettings,install gsettings overrides set dependencies
dh_installifupdown,install ifup ifdown hooks
dh_installinfo,install info files
dh_installinit,install service init files package build directories
dh_installinitramfs,install initramfs hooks setup maintscripts
dh_installlogcheck,install logcheck rulefiles etclogcheck
dh_installlogrotate,install logrotate config files
dh_installman,install man pages package build directories
dh_installmanpages,oldstyle man page installer deprecated
dh_installmenu,install debian menu files package build directories
dh_installmime,install mime files package build directories
dh_installmodules,register kernel modules
dh_installpam,install pam support files
dh_installppp,install ppp ipup ipdown files
dh_installsystemd,install systemd unit files
dh_installsystemduser,install systemd unit files
dh_installsysusers,install integrates systemd sysusers files
dh_installtmpfiles,install tmpfilesd configuration files
dh_installudev,install udev rules files
dh_installwm,register window manager
dh_installxfonts,register x fonts
dh_link,create symlinks package build directories
dh_lintian,install lintian override files package build directories
dh_listpackages,list binary packages debhelper act
dh_makeshlibs,automatically create shlibs file call dpkggensymbols
dh_md5sums,generate debianmd5sums file
dh_missing,check missing files
dh_movefiles,move files debiantmp subpackages
dh_movetousr,canonicalize location according mergedusr
dh_perl,calculates perl dependencies cleans makemaker
dh_prep,perform cleanups preparation building binary package
dh_shlibdeps,calculate shared library dependencies
dh_strip,strip executables shared libraries static libraries
dh_systemd_enable,enabledisable systemd unit files
dh_systemd_start,startstoprestart systemd unit files
dh_testdir,test directory building debian package
dh_testroot,ensure package built necessary level root permissions
dh_ucf,register configuration files ucf
dh_update_autotools_config,update autotools config files
dh_usrlocal,migrate usrlocal directories maintainer scripts
diff,compare files line line
diff,compare two files
diff3,compare three files line line
diffman-git,compare changes manual pages line line
dir,list directory contents
dircolors,color setup ls
dirname,strip last component file name
dirname,return directory portion pathname
dkvis,visualize disk io activity performance
dlltool,create files needed build use dlls
dmesg,print control kernel ring buffer
dmeventd,mapper event daemon
dmfilemapd,mapper filemap monitoring daemon
dmsetup,low level logical volume management
dmstats,mapper statistics management
dnf-automatic,dnf automatic
dnf4,dnf command reference
dnsdomainname,show set systems host name
domainname,show set systems host name
dosfsck,check repair msdos fat filesystems
dosfslabel,set get msdos filesystem label volume id
dot,execute commands current environment
dpkg-architecture,set determine architecture package building
dpkg-buildapi,returns build api level use package build
dpkg-buildflags,returns build flags use package build
dpkg-buildpackage,build binary source packages sources
dpkg-buildtree,helper build tree operations package builds
dpkg-checkbuilddeps,check build dependencies conflicts
dpkg-deb,debian package archive deb manipulation tool
dpkg-distaddfile,add entries debianfiles
dpkg-divert,override packages version file
dpkg-fsys-usrunmess,undoes mergedusrviaaliaseddirs mess
dpkg-genbuildinfo,generate debian buildinfo files
dpkg-genchanges,generate debian changes files
dpkg-gencontrol,generate debian control files
dpkg-gensymbols,generate symbols files shared library dependency information
dpkg-maintscript-helper,works around known dpkg limitations maintainer scripts
dpkg-mergechangelogs,3way merge debianchangelog files
dpkg-name,rename debian packages full package names
dpkg-parsechangelog,parse debian changelog files
dpkg-query,tool query dpkg database
dpkg-realpath,print resolved pathname dpkg_root support
dpkg-scanpackages,create packages index files
dpkg-scansources,create sources index files
dpkg-shlibdeps,generate shared library substvar dependencies
dpkg-source,debian source package dsc manipulation tool
dpkg-split,debian package archive splitjoin tool
dpkg-statoverride,override ownership mode files
dpkg-trigger,package trigger utility
dpkg-vendor,queries information distribution vendors
dpkg,package manager debian
dracut-catimages,creates initial ramdisk image concatenating images
dracut,lowlevel tool generating initramfsinitrd image
drr,deficit round robin scheduler
dselect,debian package management frontend
dtrace,dtrace compatible user application static probe generation tool
du,estimate file space usage
du,estimate file space usage
dump-acct,print acctpacct file humanreadable format
dump-utmp,print utmp file humanreadable format
dumpe2fs,dump ext2ext3ext4 file system information
dumpkeys,dump keyboard translation tables
e2freefrag,report free space fragmentation information
e2fsck,check linux ext2ext3ext4 file system
e2image,save critical ext2ext3ext4 file system metadata file
e2label,change label ext2ext3ext4 file system
e2mmpstatus,check mmp status ext4 file system
e2undo,replay undo log ext2ext3ext4 file system
e4crypt,ext4 file system encryption utility
e4defrag,online defragmenter ext4 file system
ebtables-nft,based
ebtables-translate,translation tool migrate iptables nftables
ebtables,based
echo,display line text
echo,write arguments standard output
ed,edit text
edquota,edit user quotas
eject,eject removable media
elfedit,update elf header program property elf files
ematch,extended matches use basic cgroup flow filters
enosys,utility make syscalls fail enosys
env,run program modified environment
env,set environment command invocation
envsubst,substitutes environment variables shell format strings
ETF,earliest txtime first etf qdisc
ethtool,query control network driver hardware settings
ETS,enhanced transmission selection scheduler
eval,construct command concatenating arguments
ex,text editor
exch,atomically exchanges paths two files
exec,execute commands open close copy file descriptors
execstack,tool set clear query executable stack flag elf binaries shared libraries
exit,cause shell exit
expand,convert tabs spaces
expand,convert tabs spaces
expect,programmed dialogue interactive programs version 5
expiry,check enforce password expiration policy
export,set export attribute variables
exportd,nfsv4 server mount daemon
exportfs,maintain table exported nfs file systems
expr,evaluate expressions
expr,evaluate arguments expression
factor,factor numbers
fadvise,utility use posix_fadvise system call
faillock,tool displaying modifying authentication failure record files
faillog,display faillog records set login failure limits
fallocate,preallocate deallocate space file
false,nothing unsuccessfully
false,return false value
fatlabel,set get msdos filesystem label volume id
fc,process command history list
fdisk,manipulate disk partition table
fedabipkgdiff,compare abis fedora packages
fg,run jobs foreground
fgconsole,print number active vt
file,determine file type
file,determine file type
filecap,program see capabilities
filefrag,report file fragmentation
fincore,count pages file contents core
find-filter,finegrained file selection based time attributes
find-repos-of-install,report yum repository package installed
find,search files directory hierarchy
find,find files
findfs,find filesystem label uuid
findmnt,find filesystem
Firecfg,desktop integration utility firejail software
firecfg,desktop integration utility firejail software
Firejail,linux namespaces sandbox program
firejail,linux namespaces sandbox program
Firemon,monitoring program processes started firejail sandbox
firemon,monitoring program processes started firejail sandbox
fixfiles,fix file selinux security contexts
flatpak-build-bundle,create singlefile bundle local repository
flatpak-build-commit-from,create new commits based existing one possibly another repository
flatpak-build-export,create repository build directory
flatpak-build-finish,finalize build directory
flatpak-build-import-bundle,import file bundle local repository
flatpak-build-init,initialize build directory
flatpak-build-sign,sign application runtime
flatpak-build-update-repo,create repository build directory
flatpak-build,build directory
flatpak-config,manage configuration
flatpak-create-usb,copy apps andor runtimes onto removable media
flatpak-document-export,export file sandboxed application
flatpak-document-info,show information exported files
flatpak-document-unexport,stop exporting file
flatpak-documents,list exported files
flatpak-enter,enter application runtimes sandbox
flatpak-history,show history
flatpak-info,show information installed application runtime
flatpak-install,install application runtime
flatpak-kill,stop running application
flatpak-list,list installed applications andor runtimes
flatpak-make-current,make specific version app current
flatpak-mask,mask updates automatic installation
flatpak-override,override application requirements
flatpak-permission-remove,remove permissions
flatpak-permission-reset,reset permissions
flatpak-permission-set,set permissions
flatpak-permission-show,show permissions
flatpak-permissions,list permissions
flatpak-pin,pin runtimes prevent automatic removal
flatpak-ps,enumerate running instances
flatpak-remote-add,add remote repository
flatpak-remote-delete,delete remote repository
flatpak-remote-info,show information application runtime remote
flatpak-remote-ls,show available runtimes applications
flatpak-remote-modify,modify remote repository
flatpak-remotes,list remote repositories
flatpak-repair,repair flatpak installation
flatpak-repo,show information local repository
